repo,age,language,releases,pull_requests,closed_issues,total_issues,closed_issues_ratio,last_update_days,pushed_at,created_at,stars,forks,watchers,collaborators
excalidraw/excalidraw,5,TypeScript,14,3576,2253,3918,0.5750382848392037,0,2025-03-13T23:05:22Z,2020-01-02T01:04:43Z,94325,9069,436,0
ant-design/ant-design,9,TypeScript,692,15083,29799,31023,0.9605454017986655,0,2025-03-13T23:16:48Z,2015-04-24T15:37:24Z,93950,51538,243,0
ripienaar/free-for-dev,9,HTML,0,2661,0,0,0,0,2025-03-13T22:11:59Z,2015-03-18T21:06:26Z,92729,10045,1650,0
ryanmcdermott/clean-code-javascript,8,JavaScript,0,149,163,238,0.6848739495798319,0,2025-03-13T22:00:52Z,2016-11-25T22:25:41Z,92602,12397,1748,0
deepseek-ai/DeepSeek-V3,0,Python,0,17,346,449,0.7706013363028953,0,2025-03-13T23:53:13Z,2024-12-26T09:52:40Z,92033,14918,719,0
papers-we-love/papers-we-love,11,Shell,0,434,243,244,0.9959016393442623,0,2025-03-13T23:42:06Z,2013-12-15T14:31:41Z,91558,5862,3143,0
fatedier/frp,9,Go,102,657,3660,3721,0.9836065573770492,0,2025-03-13T23:49:17Z,2015-12-21T15:24:59Z,91446,13787,1579,0
iluwatar/java-design-patterns,10,Java,0,1460,819,946,0.8657505285412262,0,2025-03-13T21:17:58Z,2014-08-09T16:45:18Z,90991,26842,3737,0
iptv-org/iptv,6,JavaScript,0,6512,10463,10792,0.9695144551519644,0,2025-03-13T23:30:49Z,2018-11-14T22:00:57Z,90946,3226,1928,0
nvbn/thefuck,9,Python,17,481,471,748,0.6296791443850267,0,2025-03-13T21:52:53Z,2015-04-08T15:08:04Z,90755,3643,837,0
tauri-apps/tauri,5,Rust,1000,4848,4312,5297,0.814045686237493,0,2025-03-13T23:46:38Z,2019-07-13T09:09:37Z,90437,2767,518,0
puppeteer/puppeteer,7,TypeScript,501,5173,6829,7085,0.9638673253352152,0,2025-03-13T18:54:00Z,2017-05-09T22:16:13Z,89992,9157,1189,0
Hack-with-Github/Awesome-Hacking,8,Unknown,0,34,0,0,0,0,2025-03-13T23:42:06Z,2016-03-30T15:47:10Z,89976,9164,3878,0
PanJiaChen/vue-element-admin,7,Vue,49,311,2357,3598,0.6550861589772096,0,2025-03-13T17:00:35Z,2017-04-17T03:35:49Z,88913,30558,2191,0
pytorch/pytorch,8,Python,58,6007,34875,49532,0.7040902850682387,0,2025-03-13T23:54:31Z,2016-08-13T05:26:41Z,87862,23580,1773,0
neovim/neovim,11,Vim Script,41,14800,10840,12399,0.8742640535527059,0,2025-03-13T23:15:58Z,2014-01-31T13:39:22Z,87135,5928,975,0
mtdvio/every-programmer-should-know,7,Unknown,0,99,22,51,0.43137254901960786,0,2025-03-13T23:51:42Z,2017-08-24T13:18:26Z,86557,7959,1978,0
tailwindlabs/tailwindcss,7,TypeScript,274,2813,4034,4119,0.9793639232823501,0,2025-03-13T23:49:56Z,2017-10-06T14:59:14Z,86324,4418,618,0
